id_team,id_opponent_team,round,week_day,date,has_won,was_draw,team_goals,opponent_team_goals,was_home_team,match_points,championship_score,championship_position
282,314,1,5,2019-04-27,True,False,2,1,True,3,3,1.0
315,285,1,5,2019-04-27,True,False,2,0,True,3,3,4.0
262,283,1,5,2019-04-27,True,False,3,1,True,3,3,10.0
276,263,1,5,2019-04-27,True,False,2,0,True,3,3,9.0
293,267,1,6,2019-04-28,True,False,4,1,True,3,3,8.0
265,264,1,6,2019-04-28,True,False,3,2,True,3,3,7.0
354,341,1,6,2019-04-28,True,False,4,0,True,3,3,2.0
266,290,1,6,2019-04-28,False,False,0,1,True,0,0,11.0
275,356,1,6,2019-04-28,True,False,4,0,True,3,3,5.0
284,277,1,6,2019-04-28,False,False,1,2,True,0,0,12.0
314,284,2,2,2019-05-01,False,True,1,1,True,1,1,16.0
341,275,2,2,2019-05-01,False,True,1,1,True,1,1,18.0
267,282,2,2,2019-05-01,False,False,1,2,True,0,0,19.0
264,315,2,2,2019-05-01,True,False,1,0,True,3,3,7.0
283,354,2,2,2019-05-01,True,False,1,0,True,3,3,8.0
356,293,2,2,2019-05-01,True,False,2,1,True,3,3,9.0
285,262,2,2,2019-05-01,True,False,2,1,True,3,3,10.0
290,276,2,2,2019-05-01,False,False,1,2,True,0,3,11.0
263,265,2,3,2019-05-02,True,False,3,2,True,3,3,12.0
277,266,2,3,2019-05-02,True,False,2,1,True,3,6,1.0
267,264,3,5,2019-05-04,False,True,1,1,True,1,1,20.0
354,282,3,5,2019-05-04,False,False,1,2,True,0,3,16.0
275,285,3,5,2019-05-04,True,False,1,0,True,3,7,2.0
315,293,3,6,2019-05-05,False,True,1,1,True,1,4,10.0
276,262,3,6,2019-05-05,False,True,1,1,True,1,7,3.0
341,277,3,6,2019-05-05,False,True,0,0,True,1,2,17.0
265,314,3,6,2019-05-05,True,False,1,0,True,3,6,5.0
263,356,3,6,2019-05-05,True,False,1,0,True,3,6,6.0
283,290,3,6,2019-05-05,True,False,2,1,True,3,6,7.0
284,266,3,6,2019-05-05,False,False,4,5,True,0,1,19.0
264,284,4,5,2019-05-11,False,True,0,0,True,1,5,12.0
266,263,4,5,2019-05-11,False,False,0,1,True,0,3,16.0
290,354,4,5,2019-05-11,True,False,2,1,True,3,6,8.0
314,341,4,6,2019-05-12,False,True,0,0,True,1,2,18.0
293,265,4,6,2019-05-12,True,False,1,0,True,3,7,6.0
262,315,4,6,2019-05-12,True,False,2,1,True,3,7,7.0
285,283,4,6,2019-05-12,True,False,3,1,True,3,6,9.0
282,275,4,6,2019-05-12,False,False,0,2,True,0,9,5.0
277,267,4,6,2019-05-12,True,False,3,0,True,3,10,3.0
356,276,4,6,2019-05-12,False,False,0,1,True,0,3,17.0
282,262,5,5,2019-05-18,True,False,2,1,True,3,12,2.0
266,283,5,5,2019-05-18,True,False,4,1,True,3,6,12.0
275,277,5,5,2019-05-18,True,False,4,0,True,3,13,1.0
267,314,5,6,2019-05-19,False,True,1,1,True,1,2,20.0
276,265,5,6,2019-05-19,False,True,0,0,True,1,11,3.0
354,284,5,6,2019-05-19,True,False,2,1,True,3,6,14.0
293,264,5,6,2019-05-19,False,False,0,2,True,0,7,11.0
315,356,5,6,2019-05-19,False,False,1,3,True,0,4,16.0
